CfgWeapons
"bravo_acr_68_crew", Remington ACR 6.8mm (Compact)
"bravo_fast_rg_cover_headset_blue", FAST Ballistic (Ranger Green Cover/Headset/Blue Team)
"bravo_fast_bk_headset_medic", FAST Ballistic (Black/Headset/Medic)
"bravo_fast_mc_cover_headset_red", FAST Ballistic (Multicam Cover/Headset/Red Team)
"bravo_fast_mc_cover_headset_blue", FAST Ballistic (Multicam Cover/Headset/Blue Team)
"bravo_6b27m_green_medic", 6B27M (Medic)
"bravo_6b27m_green_ess_medic", 6B27M (ESS/Medic)
"bravo_6b26_green_medic", 6B26 (Medic)
"bravo_6b26_green_ess_medic", 6B26 (ESS/Medic)
"bravo_ach_bare_headset_medic", ACH (Headset/Medic)
"bravo_ach_bare_headset_ess_medic", ACH (Headset/ESS/Medic)
"bravo_ach_bare_headset_ess_red", ACH (Headset/ESS/Red Team)
"bravo_ach_bare_headset_ess_blue", ACH (Headset/ESS/Blue Team)
"bravo_ach_bare_tan_headset_medic", ACH (Tan/Headset/Medic)
"bravo_ach_bare_tan_headset_ess_medic", ACH (Tan/Headset/ESS/Medic)
"bravo_ach_bare_tan_headset_ess_red", ACH (Tan/Headset/ESS/Red Team)
"bravo_ach_bare_tan_headset_ess_blue", ACH (Tan/Headset/ESS/Blue Team)
"bravo_mich_bare_noflag", MICH 2000 (No Flag)
"bravo_mich_bare_headset_noflag", MICH 2000 (Headset/No Flag)
"bravo_mich_bare_headset_red", MICH 2000 (Headset/Red Team)
"bravo_mich_bare_headset_blue", MICH 2000 (Headset/Blue Team)
"bravo_mich_bare_alt_noflag", MICH 2000 (Alt/No Flag)
"bravo_mich_bare_alt_medic", MICH 2000 (Alt/Medic)
"bravo_mich_bare_tan_noflag", MICH 2000 (Tan/No Flag)
"bravo_mich_bare_tan_headset_noflag", MICH 2000 (Tan/Headset/No Flag)
"bravo_mich_bare_tan_headset_red", MICH 2000 (Tan/Headset/Red Team)
"bravo_mich_bare_tan_headset_blue", MICH 2000 (Tan/Headset/Blue Team)
"bravo_mich_bare_alt_tan_noflag", MICH 2000 (Tan/Alt/No Flag)
"bravo_mich_bare_alt_tan_medic", MICH 2000 (Tan/Alt/Medic)
"bravo_mich_bare_norotos_arc_alt_tan_headset_red", MICH 2000 (Tan/Norotos/ARC/Headset/Red Team)
"bravo_mich_bare_norotos_arc_alt_tan_headset_blue", MICH 2000 (Tan/Norotos/ARC/Headset/Blue Team)
"bravo_mich_bare_norotos_arc_headset_red", MICH 2000 (Norotos/ARC/Headset/Red Team)
"bravo_mich_bare_norotos_arc_headset_blue", MICH 2000 (Norotos/ARC/Headset/Blue Team)
"bravo_m97_olive_medic", M97 (Olive/Medic)
"bravo_m97_olive_b2d", M97 (Olive/B2D)
"bravo_pasgt_tan_medic", PASGT Tan (Medic)
"bravo_pasgt_tan_ua", PASGT Tan (Ukraine)
"bravo_pasgt_tan_loss", PASGT Tan (Defeatist)
"bravo_helmetHBK_ear_olive", Advanced Modular Helmet (Olive/Ear Protectors)
"bravo_helmetHBK_ear_winter", Advanced Modular Helmet (Winter/Ear Protectors)
"bravo_helmetHBK_ear_tan", Advanced Modular Helmet (Tan/Ear Protectors)
"bravo_helmetHBK_ear_blue", Advanced Modular Helmet (Blue/Ear Protectors)
"bravo_helmetHBK_ear_multicam", Advanced Modular Helmet (Multicam/Ear Protectors)
"bravo_helmetHBK_chops_olive", Advanced Modular Helmet (Olive/Chops)
"bravo_helmetHBK_chops_winter", Advanced Modular Helmet (Winter/Chops)
"bravo_helmetHBK_chops_tan", Advanced Modular Helmet (Tan/Chops)
"bravo_helmetHBK_chops_blue", Advanced Modular Helmet (Blue/Chops)
"bravo_helmetHBK_chops_multicam", Advanced Modular Helmet (Multicam/Chops)
"bravo_helmetHBK_headset_olive", Advanced Modular Helmet (Olive/Headset)
"bravo_helmetHBK_headset_winter", Advanced Modular Helmet (Winter/Headset)
"bravo_helmetHBK_headset_tan", Advanced Modular Helmet (Tan/Headset)
"bravo_helmetHBK_headset_blue", Advanced Modular Helmet (Blue/Headset)
"bravo_helmetHBK_headset_multicam", Advanced Modular Helmet (Multicam/Headset)
"bravo_helmetHBK_winter", Advanced Modular Helmet (Winter)
"bravo_helmetHBK_tan", Advanced Modular Helmet (Tan)
"bravo_helmetHBK_blue", Advanced Modular Helmet (Blue)
"bravo_helmetHBK_multicam", Advanced Modular Helmet (Multicam)
"bravo_mich_bare_norotos_arc_alt_black", MICH 2000 (Black/Norotos/ARC/Alt)
"bravo_mich_bare_norotos_arc_black", MICH 2000 (Black/Norotos/ARC)
"bravo_mich_bare_black_alt_noflag", MICH 2000 (Black/Alt/No Flag)
"bravo_mich_bare_black_alt_medic", MICH 2000 (Black/Alt/Medic)
"bravo_mich_bare_black_noflag", MICH 2000 (Black/No Flag)
"bravo_mich_bare_black_headset_noflag", MICH 2000 (Black/Headset/No Flag)
"bravo_6b27m_green_d", 6B27M (Delta)
"bravo_6b27m_green_owo", 6B27M (OwO)
"bravo_6b27m_green_uwu", 6B27M (UwU)
"bravo_6b27m_green_ua", 6B27M (Ukraine)
"bravo_6b27m_green_blue", 6B27M (Blue Team)
"bravo_6b27m_green_red", 6B27M (Red Team)
"bravo_m97_olive_kilroy", M97 (Olive/Kilroy)
"bravo_ach_bare_tan_cool", ACH (Tan/Cool)
"bravo_fast_ut_headset_stickers", FAST Ballistic (Urban Tan/Headset/Stickers)
"bravo_fast_fg_headset_stickers", FAST Ballistic (Foliage Green/Headset/Stickers)
"bravo_m97_black_ess_starbuck", M97 (Black/Black ESS/Starbuck)
"bravo_m97_black_medic", M97 (Black/Medic)
"bravo_fast_win_cover_headset", FAST Ballistic (Winter Cover/Headset)
"bravo_fast_org_cover_headset", FAST Ballistic (Orange Cover/Headset)
"bravo_lwh_marpatwd_headset_ess_medic", LWH MARPAT-D (Headset/ESS/Medic)
"bravo_lwh_marpatd_headset_ess_medic", LWH MARPAT-WD (Headset/ESS/Medic)
"bravo_lwh_marpatd_fo", LWH MARPAT-D (Advisory)
"bravo_6b7_1m_ess_medic", 6B7-1M (ESS/Medic)
"bravo_6b7_1m_medic", 6B7-1M (Medic)
"bravo_6b7_1m_blue", 6B7-1M (Blue Team)
"bravo_6b7_1m_red", 6B7-1M (Red Team)
"bravo_cap_headphones_bravo", Rangemaster Cap (Bravo)
"bravo_6b7_1m_winter", 6B7-1M (Winter)
"bravo_6b7_1m_bala2_winter", 6B7-1M (Winter/Balaclava)
"bravo_helmetspecb_multicam", Enhanced Combat Helmet (Multicam)
"bravo_helmetspecb_green", Enhanced Combat Helmet (Green)
"bravo_helmetb_multicam", Combat Helmet (Multicam)
"bravo_helmetb_green", Combat Helmet (Green)

CfgVehicles
"bravo_p601_sport", P601 RS
"bravo_p601_wrx", P601 WRX
"bravo_w123_hammer", W123 AMG Hammer Prototype
"bravo_zamak_dakar", KamAZ Dakar Flyer Special
"bravo_trapped_gun_mine_nato",
"bravo_trapped_gun_mine_natocw",
"bravo_trapped_gun_mine_ru",
"bravo_trapped_gun_mine_rucw",
"bravo_trapped_gun_mine_csat",
"bravo_trapped_gun_mine_ww2ger",
"bravo_trapped_gun_mine_ww2allied",
"bravo_module_trapped_gun_mine_nato",
"bravo_module_trapped_gun_mine_natocw",
"bravo_module_trapped_gun_mine_ru",
"bravo_module_trapped_gun_mine_rucw",
"bravo_module_trapped_gun_mine_csat",
"bravo_module_trapped_gun_mine_ww2ger",
"bravo_module_trapped_gun_mine_ww2allied",
"bravo_module_gbp", Toggle Global Grunt Birthday Party
"bravo_weaponholder_multinade",
"bravo_module_messengerAnon", [ACEPhone] Burner Phone
"bravo_B_SPE_US_Radio", US Radio, SCR300
"bravo_B_SPE_US_Radio_alt", US Radio, SCR300 (Bandoleer)
"bravo_B_SPE_US_Radio_packboard", US Packboard, 1943 (Musette, SCR300)
"bravo_B_SPE_US_Radio_packboard_light", US Packboard, 1943 (SCR300)

CfgMagazines
"bravo_1rnd_40mm_gl_mine", 40 mm Proximity Mine
"bravo_1rnd_40mm_gl_mine_vog", 40 mm VOG Proximity Mine
"bravo_trapped_gun_mine_nato_mag",
"bravo_trapped_gun_mine_natocw_mag",
"bravo_trapped_gun_mine_ru_mag",
"bravo_trapped_gun_mine_rucw_mag",
"bravo_trapped_gun_mine_csat_mag",
"bravo_trapped_gun_mine_ww2ger_mag",
"bravo_trapped_gun_mine_ww2allied_mag",
"bravo_1rnd_84mm_delayfuze_he_impact", 84 mm FFV441 HE (Programmable, impact)
"bravo_1rnd_84mm_delayfuze_he_100",
"bravo_1rnd_84mm_delayfuze_he_125",
"bravo_1rnd_84mm_delayfuze_he_150",
"bravo_1rnd_84mm_delayfuze_he_175",
"bravo_1rnd_84mm_delayfuze_he_200",
"bravo_1rnd_84mm_delayfuze_he_225",
"bravo_1rnd_84mm_delayfuze_he_250",
"bravo_1rnd_84mm_delayfuze_he_300",
"bravo_1rnd_84mm_delayfuze_he_400",
"bravo_1rnd_84mm_delayfuze_he_500",
"bravo_1rnd_84mm_delayfuze_he2_impact", 84 mm FFV448 HE (Programmable, impact)
"bravo_1rnd_84mm_delayfuze_he2_100",
"bravo_1rnd_84mm_delayfuze_he2_125",
"bravo_1rnd_84mm_delayfuze_he2_150",
"bravo_1rnd_84mm_delayfuze_he2_175",
"bravo_1rnd_84mm_delayfuze_he2_200",
"bravo_1rnd_84mm_delayfuze_he2_225",
"bravo_1rnd_84mm_delayfuze_he2_250",
"bravo_1rnd_84mm_delayfuze_he2_300",
"bravo_1rnd_84mm_delayfuze_he2_400",
"bravo_1rnd_84mm_delayfuze_he2_500",
"bravo_1rnd_84mm_smoke", 84 mm FFV469 Smoke
"bravo_1rnd_40mm_gl_cuas", 40 mm Skylance C-UAS
"bravo_1rnd_40mm_gl_cuas_vog", 40 mm VOG-6G77 C-UAS
"bravo_30rnd_68_acr_fmj", 6.8 mm 30Rnd ACR FMJ
"bravo_30rnd_68_acr_fmj_tracer_red", 6.8 mm 30Rnd ACR FMJ Tracer (Red)
"bravo_30rnd_68_acr_ap", 6.8 mm 30Rnd ACR AP
"bravo_30rnd_68_acr_ap_tracer_red", 6.8 mm 30Rnd ACR AP Tracer (Red)
"bravo_50rnd_762x51_mg34", 7.62 mm 50Rnd MG 34F2
"bravo_50rnd_762x51_mg34_red", 7.62 mm 50Rnd MG 34F2 Tracer (Red)
"bravo_50rnd_762x63_mg34", .30-06 50Rnd MG 34F1
"bravo_50rnd_762x63_mg34_red", .30-06 50Rnd MG 34F1 Tracer (Red)
"bravo_3rnd_hs50_20_apds", 20 mm 3Rnd HS-50/20 APDS Magazine
"bravo_3rnd_hs50_20_he", 20 mm 3Rnd HS-50/20 HE Magazine
"bravo_1rnd_9x18mm_sp_pm", Go Fuck Yourself
"bravo_saxBomb", Sax Bomb
"bravo_randomNade", Grenade of Several Possibilities
"bravo_multiNade", Grenade of More Grenades
